ITERATION,NUMBER_SAMPLES,FUNCTION_INDEX,OBJECTIVE_MEAN,OBJECTIVE_MIN,OBJECTIVE_MAX,CRITERION_INDEX,CRITERION_MEAN,CRITERION_MIN,CRITERION_MAX
0,100,0,-1.1513523924906783,-2.6935455483591966,0.0,0,0.10846500000000005,0.0,0.6935455483591966
0,100,0,-1.1513523924906783,-2.6935455483591966,0.0,1,1.9434471636193157E-6,0.0,0.5709574988544636
0,100,0,-1.1513523924906783,-2.6935455483591966,0.0,2,0.5214436962453391,0.0,1.0
0,100,0,-1.1513523924906783,-2.6935455483591966,0.0,3,0.02202905951000001,0.0,0.5945490789131965
0,100,0,-1.1513523924906783,-2.6935455483591966,0.0,4,0.005278385775999996,0.0,0.5764378929131965
0,100,1,-1.1151585912673876,-2.7308980483591965,0.0,0,0.14581750000000004,0.0,0.7308980483591966
0,100,1,-1.1151585912673876,-2.7308980483591965,0.0,1,2.2693630173764564E-6,0.0,0.5709578247703173
0,100,1,-1.1151585912673876,-2.7308980483591965,0.0,2,0.4846705456336938,0.0,1.0
0,100,1,-1.1151585912673876,-2.7308980483591965,0.0,3,0.018812193146,0.0,0.5913322125491965
0,100,1,-1.1151585912673876,-2.7308980483591965,0.0,4,0.004312067291999999,0.0,0.5754715744291964
0,100,2,-1.0935724639288649,-2.7816480483591963,0.0,0,0.19656749999999992,0.0,0.7816480483591964
0,100,2,-1.0935724639288649,-2.7816480483591963,0.0,1,2.668246589188586E-6,0.0,0.5709582236538892
0,100,2,-1.0935724639288649,-2.7816480483591963,0.0,2,0.4485024819644325,0.0,1.0
0,100,2,-1.0935724639288649,-2.7816480483591963,0.0,3,0.017630975577,0.0,0.5901509949801965
0,100,2,-1.0935724639288649,-2.7816480483591963,0.0,4,0.003993551074000001,0.0,0.5751530582111964
0,100,3,-1.0868801792858467,-2.8138718243634364,0.0,0,0.23509250000000004,0.0,0.8201730483591966
0,100,3,-1.0868801792858467,-2.8138718243634364,0.0,1,2.933471721834263E-6,0.0,0.5709584888790218
0,100,3,-1.0868801792858467,-2.8138718243634364,0.0,2,0.4258938396429233,0.0,0.9968493880021199
0,100,3,-1.0868801792858467,-2.8138718243634364,0.0,3,0.017587681257999997,0.0,0.5901077006611966
0,100,3,-1.0868801792858467,-2.8138718243634364,0.0,4,0.0038047367210000006,0.0,0.5749642438581964
0,100,4,-1.0864927755090965,-2.8134844205866862,0.0,0,0.2731299999999998,0.0,0.8582105483591964
0,100,4,-1.0864927755090965,-2.8134844205866862,0.0,1,3.1669175465840123E-6,0.0,0.5709587223248465
0,100,4,-1.0864927755090965,-2.8134844205866862,0.0,2,0.4066813877545484,0.0,0.9776369361137449
0,100,4,-1.0864927755090965,-2.8134844205866862,0.0,3,0.017688016205999992,0.0,0.5902080356091965
0,100,4,-1.0864927755090965,-2.8134844205866862,0.0,4,0.003937064228,0.0,0.5750965713651964
0,100,5,-1.096799668182318,-2.8237913132599077,0.0,0,0.33617500000000006,0.0,0.9212555483591967
0,100,5,-1.096799668182318,-2.8237913132599077,0.0,1,3.544719669182046E-6,0.0,0.5709591001269692
0,100,5,-1.096799668182318,-2.8237913132599077,0.0,2,0.38031233409115894,0.0,0.9512678824503554
0,100,5,-1.096799668182318,-2.8237913132599077,0.0,3,0.017485430237999998,0.0,0.5900054496411965
0,100,5,-1.096799668182318,-2.8237913132599077,0.0,4,0.003809675381,0.0,0.5749691825181964
0,100,6,-1.112658147954942,-2.8396497930325313,0.0,0,0.4045824999999999,0.0,0.9896630483591964
0,100,6,-1.112658147954942,-2.8396497930325313,0.0,1,3.925765484276518E-6,0.0,0.5709594811727842
0,100,6,-1.112658147954942,-2.8396497930325313,0.0,2,0.354037823977471,0.0,0.9249933723366675
0,100,6,-1.112658147954942,-2.8396497930325313,0.0,3,0.01943540670299999,0.0,0.5919554261061966
0,100,6,-1.112658147954942,-2.8396497930325313,0.0,4,0.004197686534000001,0.0,0.5753571936711964
0,100,7,-1.122727663759341,-2.792671260477734,0.0,0,0.47196750000000015,0.0,1.0
0,100,7,-1.122727663759341,-2.792671260477734,0.0,1,4.328362060402395E-6,0.0,0.5709598837693604
0,100,7,-1.122727663759341,-2.792671260477734,0.0,2,0.32538008187967044,0.0,0.896335630238867
0,100,7,-1.122727663759341,-2.792671260477734,0.0,3,0.018246722708999998,0.0,0.5907667421121965
0,100,7,-1.122727663759341,-2.792671260477734,0.0,4,0.004022528360999999,0.0,0.5751820354981965
0,100,8,-1.1735092617007905,-2.6206828584191837,-0.10965695164080325,0,0.6947374999999998,0.10965695164080325,1.0
0,100,8,-1.1735092617007905,-2.6206828584191837,-0.10965695164080325,1,6.328405130859217E-6,0.0,0.5709618838124307
0,100,8,-1.1735092617007905,-2.6206828584191837,-0.10965695164080325,2,0.23938588085039533,0.0,0.8103414292095918
0,100,8,-1.1735092617007905,-2.6206828584191837,-0.10965695164080325,3,0.016784922867999996,0.0,0.5893049422711966
0,100,8,-1.1735092617007905,-2.6206828584191837,-0.10965695164080325,4,0.003748765122999999,0.0,0.5749082722601965
1,200,0,-1.1630354364983266,-2.3742150565009412,-0.24287860649658355,0,0.11270374999999994,0.0,0.5164302900008715
1,200,0,-1.1630354364983266,-2.3742150565009412,-0.24287860649658355,1,2.06277059778986E-6,0.0,0.4037286027714694
1,200,0,-1.1630354364983266,-2.3742150565009412,-0.24287860649658355,2,0.5251658432491634,0.12143930324829177,0.928892383250035
1,200,0,-1.1630354364983266,-2.3742150565009412,-0.24287860649658355,3,0.020960932390999994,0.0,0.4258961270598716
1,200,0,-1.1630354364983266,-2.3742150565009412,-0.24287860649658355,4,0.005214614976499999,0.0,0.4091392315193716
1,200,1,-1.1267039188898125,-2.3378835388924273,-0.16980208888806936,0,0.14944874999999996,0.0,0.5531752900008715
1,200,1,-1.1267039188898125,-2.3378835388924273,-0.16980208888806936,1,2.3949130714474547E-6,0.0,0.40372893491394307
1,200,1,-1.1267039188898125,-2.3378835388924273,-0.16980208888806936,2,0.4886275844449063,0.08490104444403468,0.8923541244457779
1,200,1,-1.1267039188898125,-2.3378835388924273,-0.16980208888806936,3,0.0194050449035,0.0,0.4243402395723716
1,200,1,-1.1267039188898125,-2.3378835388924273,-0.16980208888806936,4,0.004377624095999998,0.0,0.4083022406388716
1,200,2,-1.1022319710475406,-2.3134115910501554,-0.09752764104579714,0,0.19725125000000016,0.0,0.6009777900008717
1,200,2,-1.1022319710475406,-2.3134115910501554,-0.09752764104579714,1,2.8078252130239536E-6,0.0,0.4037293478260846
1,200,2,-1.1022319710475406,-2.3134115910501554,-0.09752764104579714,2,0.4524903605237702,0.04876382052289857,0.8562169005246418
1,200,2,-1.1022319710475406,-2.3134115910501554,-0.09752764104579714,3,0.018098807973000005,0.0,0.42303400264187163
1,200,2,-1.1022319710475406,-2.3134115910501554,-0.09752764104579714,4,0.003985678868,0.0,0.4079102954108716
1,200,3,-1.0945571915867778,-2.3057368115893926,-0.05201911158503447,0,0.23508500000000013,0.0,0.6388115400008717
