SAMPLE_INDEX,FUNCTION_NAME,FUNCTION_INDEX,PEAQ_OBJECTIVE_DIFFERENCE,PEAQ_OBJECTIVE_DIFFERENCE ^ 2.0
8,Lame MP3 Compression V8,7,0.91775,0.8422650624999999
8,Lame MP3 Compression V9,8,0.942,0.8873639999999999
8,Lame Constant MP3 Compression Bitrate 320,9,0.0,0.0
8,Lame Constant MP3 Compression Bitrate 256,10,0.0,0.0
8,Lame Constant MP3 Compression Bitrate 128,11,0.00325,1.05625E-5
8,Lame Constant MP3 Compression Bitrate 64,12,0.57675,0.33264056249999996
9,Lame MP3 Compression V1,0,0.0555,0.00308025
9,Lame MP3 Compression V2,1,0.10475,0.0109725625
9,Lame MP3 Compression V3,2,0.15125,0.0228765625
9,Lame MP3 Compression V4,3,0.2675,0.07155625
9,Lame MP3 Compression V5,4,0.51125,0.26137656249999996
9,Lame MP3 Compression V6,5,0.68425,0.4681980625
9,Lame MP3 Compression V7,6,0.7305,0.5336302500000001
9,Lame MP3 Compression V8,7,0.9015,0.81270225
9,Lame MP3 Compression V9,8,0.93875,0.8812515624999999
9,Lame Constant MP3 Compression Bitrate 320,9,0.0,0.0
9,Lame Constant MP3 Compression Bitrate 256,10,0.0,0.0
9,Lame Constant MP3 Compression Bitrate 128,11,0.0,0.0
9,Lame Constant MP3 Compression Bitrate 64,12,0.54475,0.29675256249999993
10,Lame MP3 Compression V1,0,0.044,0.0019359999999999998
10,Lame MP3 Compression V2,1,0.10325,0.010660562499999998
10,Lame MP3 Compression V3,2,0.19625,0.0385140625
10,Lame MP3 Compression V4,3,0.291,0.08468099999999999
10,Lame MP3 Compression V5,4,0.522,0.272484
10,Lame MP3 Compression V6,5,0.66125,0.4372515625
10,Lame MP3 Compression V7,6,0.67025,0.4492350625
10,Lame MP3 Compression V8,7,0.9395,0.88266025
10,Lame MP3 Compression V9,8,0.95875,0.9192015625
10,Lame Constant MP3 Compression Bitrate 320,9,0.0,0.0
10,Lame Constant MP3 Compression Bitrate 256,10,0.0,0.0
10,Lame Constant MP3 Compression Bitrate 128,11,0.0,0.0
10,Lame Constant MP3 Compression Bitrate 64,12,0.6115,0.3739322500000001
11,Lame MP3 Compression V1,0,0.066,0.0043560000000000005
11,Lame MP3 Compression V2,1,0.0835,0.006972250000000001
11,Lame MP3 Compression V3,2,0.1675,0.028056250000000005
11,Lame MP3 Compression V4,3,0.378,0.142884
11,Lame MP3 Compression V5,4,0.58,0.3364
11,Lame MP3 Compression V6,5,0.7315,0.53509225
11,Lame MP3 Compression V7,6,0.73925,0.5464905624999999
11,Lame MP3 Compression V8,7,0.87575,0.7669380625000001
11,Lame MP3 Compression V9,8,0.9265,0.85840225
11,Lame Constant MP3 Compression Bitrate 320,9,0.0,0.0
11,Lame Constant MP3 Compression Bitrate 256,10,0.0,0.0
11,Lame Constant MP3 Compression Bitrate 128,11,0.0,0.0
11,Lame Constant MP3 Compression Bitrate 64,12,0.63525,0.4035425625
12,Lame MP3 Compression V1,0,0.06825,0.004658062500000001
12,Lame MP3 Compression V2,1,0.14725,0.0216825625
12,Lame MP3 Compression V3,2,0.1825,0.033306249999999996
12,Lame MP3 Compression V4,3,0.3125,0.09765625
12,Lame MP3 Compression V5,4,0.5125,0.26265625
12,Lame MP3 Compression V6,5,0.70525,0.49737756250000004
12,Lame MP3 Compression V7,6,0.7045,0.49632025
12,Lame MP3 Compression V8,7,0.93975,0.8831300624999999
12,Lame MP3 Compression V9,8,0.96225,0.9259250625000001
12,Lame Constant MP3 Compression Bitrate 320,9,0.0,0.0
12,Lame Constant MP3 Compression Bitrate 256,10,0.0,0.0
12,Lame Constant MP3 Compression Bitrate 128,11,0.00525,2.7562500000000002E-5
12,Lame Constant MP3 Compression Bitrate 64,12,0.56675,0.3212055625
13,Lame MP3 Compression V1,0,0.06975,0.004865062500000001
13,Lame MP3 Compression V2,1,0.0755,0.00570025
13,Lame MP3 Compression V3,2,0.1445,0.020880249999999996
13,Lame MP3 Compression V4,3,0.24925,0.0621255625
13,Lame MP3 Compression V5,4,0.42825,0.18339806250000001
13,Lame MP3 Compression V6,5,0.649,0.42120100000000005
13,Lame MP3 Compression V7,6,0.708,0.5012639999999999
13,Lame MP3 Compression V8,7,0.84575,0.7152930625
13,Lame MP3 Compression V9,8,0.907,0.8226490000000001
13,Lame Constant MP3 Compression Bitrate 320,9,0.0,0.0
13,Lame Constant MP3 Compression Bitrate 256,10,0.0,0.0
13,Lame Constant MP3 Compression Bitrate 128,11,0.0,0.0
13,Lame Constant MP3 Compression Bitrate 64,12,0.50125,0.25125156249999997
14,Lame MP3 Compression V1,0,0.063,0.003969
14,Lame MP3 Compression V2,1,0.143,0.020448999999999995
