SAMPLE_INDEX,FUNCTION_NAME,FUNCTION_INDEX,PEAQ_OBJECTIVE_DIFFERENCE,PEAQ_OBJECTIVE_DIFFERENCE ^ 2.0,PEAQ_OBJECTIVE_DIFFERENCE VARIANCE,COMPRESSION_RATIO,COMPRESSION_RATIO ^ 2.0,COMPRESSION_RATIO VARIANCE
5,Lame MP3 Compression V1,0,0.0275,7.5625E-4,0.0,0.147878071881779,0.0218679241434726,0.0
5,Lame MP3 Compression V2,1,0.10875,0.0118265625,0.0,0.1305237857601157,0.01703645864915258,0.0
5,Lame MP3 Compression V3,2,0.1585,0.025122250000000002,0.0,0.12343541537239405,0.015236301768155455,0.0
5,Lame MP3 Compression V4,3,0.29325,0.08599556250000001,0.0,0.11096966055260772,0.012314265563160983,0.0
5,Lame MP3 Compression V5,4,0.53825,0.2897130625,0.0,0.09422644084367902,0.008878622154067343,0.0
5,Lame MP3 Compression V6,5,0.707,0.49984899999999993,0.0,0.0837160985446435,0.007008385155536461,0.0
5,Lame MP3 Compression V7,6,0.7185,0.51624225,0.0,0.0760777683854607,0.005787826842511803,0.0
5,Lame MP3 Compression V8,7,0.91675,0.8404305624999999,0.0,0.06611738585788632,0.004371508712680626,0.0
5,Lame MP3 Compression V9,8,0.95025,0.9029750625,0.0,0.05694629744676084,0.00324288079289496,0.0
5,Lame Constant MP3 Compression Bitrate 320,9,0.0,0.0,0.0,0.4301907545651753,0.1850640853133549,0.0
5,Lame Constant MP3 Compression Bitrate 256,10,0.0,0.0,0.0,0.3441526036521403,0.11844101460054716,0.0
5,Lame Constant MP3 Compression Bitrate 128,11,0.0,0.0,0.0,0.17207630182607014,0.02961025365013679,0.0
5,Lame Constant MP3 Compression Bitrate 64,12,0.58825,0.3460380625000001,0.0,0.08603815091303507,0.007402563412534198,0.0
6,Lame MP3 Compression V1,0,0.08525,0.0072675625000000015,0.0,0.14671773479425163,0.021526093703156356,0.0
6,Lame MP3 Compression V2,1,0.14475,0.020952562499999997,0.0,0.13084251741686315,0.017119764363982135,0.0
6,Lame MP3 Compression V3,2,0.18175,0.033033062499999995,0.0,0.12264885683498522,0.015042742082928702,0.0
6,Lame MP3 Compression V4,3,0.4015,0.16120225000000002,0.0,0.10677363945759674,0.01140061008302086,0.0
6,Lame MP3 Compression V5,4,0.59525,0.35432256249999994,0.0,0.09307486317226958,0.008662930154536704,0.0
6,Lame MP3 Compression V6,5,0.72575,0.5267130625,0.0,0.08091239824604453,0.00654681618992651,0.0
6,Lame MP3 Compression V7,6,0.737,0.543169,0.0,0.07508721767611569,0.0056380902583403805,0.0
6,Lame MP3 Compression V8,7,0.86675,0.7512555625,0.0,0.06426902518910499,0.004130507598757812,0.0
6,Lame MP3 Compression V9,8,0.92225,0.8505450625000001,0.0,0.0535521865764795,0.002867836687122071,0.0
6,Lame Constant MP3 Compression Bitrate 320,9,0.0,0.0,0.0,0.43016718054859115,0.1850438032211242,0.0
6,Lame Constant MP3 Compression Bitrate 256,10,0.0,0.0,0.0,0.34413374443887296,0.11842803406151953,0.0
6,Lame Constant MP3 Compression Bitrate 128,11,0.001,1.0E-6,0.0,0.17206687221943648,0.029607008515379882,0.0
