ITERATION,NUMBER_SAMPLES,FUNCTION_INDEX,OBJECTIVE_MEAN,OBJECTIVE_MIN,OBJECTIVE_MAX,CRITERION_INDEX,CRITERION_MEAN,CRITERION_MIN,CRITERION_MAX
0,100,0,-0.7657135458021506,-2.5527556860205562,0.0,0,0.057135,0.0,0.6905086747919525
0,100,0,-0.7657135458021506,-2.5527556860205562,0.0,1,1.2161541688163716E-5,0.0,0.5762077986555613
0,100,0,-0.7657135458021506,-2.5527556860205562,0.0,2,0.35428927290107526,0.0,0.9311235056143019
0,100,0,-0.7657135458021506,-2.5527556860205562,0.0,3,0.006623904130000001,0.0,0.5835079353319526
0,100,0,-0.7657135458021506,-2.5527556860205562,0.0,4,0.001321072039,0.0,0.5778179348089525
0,100,1,-0.7235855691486023,-2.510627709367008,0.0,0,0.11142750000000001,0.0,0.7448011747919525
0,100,1,-0.7235855691486023,-2.510627709367008,0.0,1,1.6474341310841018E-5,0.0,0.5762121114551839
0,100,1,-0.7235855691486023,-2.510627709367008,0.0,2,0.30607903457430113,0.0,0.8829132672875277
0,100,1,-0.7235855691486023,-2.510627709367008,0.0,3,0.005427610669000002,0.0,0.5823116418709525
0,100,1,-0.7235855691486023,-2.510627709367008,0.0,4,0.0013475687520000002,0.0,0.5778444315219525
0,100,2,-0.731889703587959,-2.518931843806365,0.0,0,0.1692874999999999,0.0,0.8026611747919524
0,100,2,-0.731889703587959,-2.518931843806365,0.0,1,1.9306400242540263E-5,0.0,0.5762149435141156
0,100,2,-0.731889703587959,-2.518931843806365,0.0,2,0.28130110179397955,0.0,0.8581353345072062
0,100,2,-0.731889703587959,-2.518931843806365,0.0,3,0.004671489102000002,0.0,0.5815555203039525
0,100,2,-0.731889703587959,-2.518931843806365,0.0,4,0.0014328740320000005,0.0,0.5779297368019525
0,100,3,-0.7838196024323025,-2.5708617426507083,0.0,0,0.2827725,0.0,0.9161461747919525
0,100,3,-0.7838196024323025,-2.5708617426507083,0.0,1,2.31530048540744E-5,0.0,0.5762187901187272
0,100,3,-0.7838196024323025,-2.5708617426507083,0.0,2,0.2505235512161513,0.0,0.827357783929378
0,100,3,-0.7838196024323025,-2.5708617426507083,0.0,3,0.005934934557,0.0,0.5828189657589525
0,100,3,-0.7838196024323025,-2.5708617426507083,0.0,4,0.0013255270169999999,0.0,0.5778223897869524
0,100,4,-0.8857463716946414,-2.5757673371210945,0.0,0,0.4636475000000002,0.0,1.0
0,100,4,-0.8857463716946414,-2.5757673371210945,0.0,1,2.9165403585168837E-5,0.0,0.5762248025174583
0,100,4,-0.8857463716946414,-2.5757673371210945,0.0,2,0.21104943584732058,0.0,0.7878836685605473
0,100,4,-0.8857463716946414,-2.5757673371210945,0.0,3,0.004189187402,0.0,0.5810732186039526
0,100,4,-0.8857463716946414,-2.5757673371210945,0.0,4,0.00133922012,0.0,0.5778360828899525
0,100,5,-0.9735470024482495,-2.517790467874703,0.0,0,0.609425,0.0,1.0
0,100,5,-0.9735470024482495,-2.517790467874703,0.0,1,3.5625092390514766E-5,0.0,0.5762312622062636
0,100,5,-0.9735470024482495,-2.517790467874703,0.0,2,0.1820610012241248,0.0,0.7588952339373515
0,100,5,-0.9735470024482495,-2.517790467874703,0.0,3,0.004673432335000001,0.0,0.5815574635369525
0,100,5,-0.9735470024482495,-2.517790467874703,0.0,4,0.0015611528500000006,0.0,0.5780580156199525
0,100,6,-0.9739740370523926,-2.4834375024788455,-0.010831325208047526,0,0.644205,0.010831325208047526,1.0
0,100,6,-0.9739740370523926,-2.4834375024788455,-0.010831325208047526,1,3.8780786498490363E-4,0.0,0.576583444978858
0,100,6,-0.9739740370523926,-2.4834375024788455,-0.010831325208047526,2,0.16488451852619626,0.0,0.7417187512394229
0,100,6,-0.9739740370523926,-2.4834375024788455,-0.010831325208047526,3,0.004161877741000001,0.0,0.5810459089429525
0,100,6,-0.9739740370523926,-2.4834375024788455,-0.010831325208047526,4,0.001385447149,0.0,0.5778823099189525
0,100,7,-1.0625435013617877,-2.445459466788241,-0.13737882520804745,0,0.7707525,0.13737882520804745,1.0
0,100,7,-1.0625435013617877,-2.445459466788241,-0.13737882520804745,1,3.3792839671508313E-4,0.0,0.5765335655105882
0,100,7,-1.0625435013617877,-2.445459466788241,-0.13737882520804745,2,0.14589550068089388,0.0,0.7227297333941205
0,100,7,-1.0625435013617877,-2.445459466788241,-0.13737882520804745,3,0.0034881370870000006,0.0,0.5803721682889526
0,100,7,-1.0625435013617877,-2.445459466788241,-0.13737882520804745,4,0.0012444601830000003,0.0,0.5777413229529524
0,100,8,-0.9872534823216509,-2.386136947748104,-0.12141132520804754,0,0.754785,0.12141132520804754,1.0
0,100,8,-0.9872534823216509,-2.386136947748104,-0.12141132520804754,1,3.235751196127807E-4,0.0,0.5765192122334859
0,100,8,-0.9872534823216509,-2.386136947748104,-0.12141132520804754,2,0.11623424116082542,0.0,0.693068473874052
