SAMPLE_INDEX,FUNCTION_NAME,FUNCTION_INDEX,PEAQ_OBJECTIVE_DIFFERENCE,COMPRESSION_RATIO
9,Lame MP3 Compression V9,8,0.794,0.046230061284192096
10,Lame MP3 Compression V1,0,0.12525,0.1350401981614546
10,Lame MP3 Compression V2,1,0.17875,0.11684692668239716
10,Lame MP3 Compression V3,2,0.22125,0.10762216931273422
10,Lame MP3 Compression V4,3,0.4065,0.09532249281985031
10,Lame MP3 Compression V5,4,0.539,0.07661673482025604
10,Lame MP3 Compression V6,5,0.684,0.06559827462871419
10,Lame MP3 Compression V7,6,0.64275,0.05900001067680251
10,Lame MP3 Compression V8,7,0.6015,0.05919219312200382
10,Lame MP3 Compression V9,8,0.777,0.0447037721143272
11,Lame MP3 Compression V1,0,0.055,0.14113330615572767
11,Lame MP3 Compression V2,1,0.11225,0.11789645332246229
11,Lame MP3 Compression V3,2,0.14225,0.10370974317162658
11,Lame MP3 Compression V4,3,0.29025,0.08695474928658785
11,Lame MP3 Compression V5,4,0.454,0.06836526701997554
11,Lame MP3 Compression V6,5,0,0.0572360375050958
11,Lame MP3 Compression V7,6,0,0.052099470036689764
11,Lame MP3 Compression V8,7,0.56375,0.04965348552792499
11,Lame MP3 Compression V9,8,0,0.03869241744802283
12,Lame MP3 Compression V1,0,0.0255,0.13673053403995108
12,Lame MP3 Compression V2,1,0.0755,0.11398287810843864
12,Lame MP3 Compression V3,2,0.19625,0.09710558499796168
12,Lame MP3 Compression V4,3,0.403,0.08206278026905829
12,Lame MP3 Compression V5,4,0.44225,0.06812066856909907
12,Lame MP3 Compression V6,5,0.53475,0.0600489196901753
12,Lame MP3 Compression V7,6,0.6275,0.05264981655116184
12,Lame MP3 Compression V8,7,0.583,0.05161027313493681
12,Lame MP3 Compression V9,8,0.61725,0.04067977986139421
13,Lame MP3 Compression V1,0,0.0825,0.14246973158805065
13,Lame MP3 Compression V2,1,0.12375,0.12248297068181332
13,Lame MP3 Compression V3,2,0.2285,0.11223334970425573
13,Lame MP3 Compression V4,3,0.362,0.10044628558006449
13,Lame MP3 Compression V5,4,0.53425,0.0819969678204608
13,Lame MP3 Compression V6,5,0.79075,0.0679037389763191
13,Lame MP3 Compression V7,6,0.69475,0.0649569729452713
13,Lame MP3 Compression V8,7,0.65675,0.06418825137195447
13,Lame MP3 Compression V9,8,0.86775,0.04900600029894728
14,Lame MP3 Compression V1,0,0.03875,0.1440071747346843
14,Lame MP3 Compression V2,1,0.044,0.12197048963293546
14,Lame MP3 Compression V3,2,0.10425,0.10505861501996541
14,Lame MP3 Compression V4,3,0.37875,0.08763425935811749
14,Lame MP3 Compression V5,4,0.49,0.07161922658068373
14,Lame MP3 Compression V6,5,0.5625,0.06213832717644296
14,Lame MP3 Compression V7,6,0.55175,0.05496359249215264
14,Lame MP3 Compression V8,7,0.5445,0.05086374410112959
14,Lame MP3 Compression V9,8,0,0.04081164186116034
15,Lame MP3 Compression V1,0,0.041,0.12816958825927435
15,Lame MP3 Compression V2,1,0.1075,0.11006930289441501
15,Lame MP3 Compression V3,2,0.23175,0.0946596004891969
15,Lame MP3 Compression V4,3,0.4545,0.07986139421117
15,Lame MP3 Compression V5,4,0,0.0644516918059519
15,Lame MP3 Compression V6,5,0,0.05601304525071341
15,Lame MP3 Compression V7,6,0,0.0506318793314309
15,Lame MP3 Compression V8,7,0.605,0.048063595597227886
15,Lame MP3 Compression V9,8,0,0.03816245413779046
16,Lame MP3 Compression V1,0,0.0245,0.14298221263692854
16,Lame MP3 Compression V2,1,0.04875,0.12171424910849651
16,Lame MP3 Compression V3,2,0.077,0.10505861501996541
16,Lame MP3 Compression V4,3,0.14625,0.08327817044265551
16,Lame MP3 Compression V5,4,0.32975,0.061497725865345604
16,Lame MP3 Compression V6,5,0,0.05188870619888535
16,Lame MP3 Compression V7,6,0,0.049774721872264095
16,Lame MP3 Compression V8,7,0,0.042920287843522455
16,Lame MP3 Compression V9,8,0,0.028458713245499777
17,Lame MP3 Compression V1,0,0.00975,0.14724826742763963
17,Lame MP3 Compression V2,1,0.0275,0.12425601304525072
17,Lame MP3 Compression V3,2,0.04525,0.10297594781899715
17,Lame MP3 Compression V4,3,0.10325,0.07912759885854057
17,Lame MP3 Compression V5,4,0.271,0.052344068487566245
17,Lame MP3 Compression V6,5,0.44,0.04671830411740726
17,Lame MP3 Compression V7,6,0,0.04732980024459845
17,Lame MP3 Compression V8,7,0,0.0308194048104362
17,Lame MP3 Compression V9,8,0,0.017891357521402366
18,Lame MP3 Compression V1,0,0.06525,0.14118852896585596
18,Lame MP3 Compression V2,1,0.1005,0.12145800858405757
18,Lame MP3 Compression V3,2,0.17725,0.11223334970425573
18,Lame MP3 Compression V4,3,0.348,0.0960901966646025
18,Lame MP3 Compression V5,4,0.54925,0.07623155602058465
18,Lame MP3 Compression V6,5,0.70225,0.06470073242083235
18,Lame MP3 Compression V7,6,0.633,0.05996028271871196
18,Lame MP3 Compression V8,7,0.60175,0.0563729153765668
18,Lame MP3 Compression V9,8,0,0.04455915953107984
19,Lame MP3 Compression V1,0,0.056,0.14064410925397472
19,Lame MP3 Compression V2,1,0.07325,0.1188748471259682
19,Lame MP3 Compression V3,2,0.129,0.10664492458214431
19,Lame MP3 Compression V4,3,0.37625,0.08915613534447615
19,Lame MP3 Compression V5,4,0.588,0.07056665307786383
19,Lame MP3 Compression V6,5,0.6535,0.06053811659192825
19,Lame MP3 Compression V7,6,0.62275,0.054851202609050145
19,Lame MP3 Compression V8,7,0.6275,0.05197717081125153
19,Lame MP3 Compression V9,8,0,0.040282307378719934
20,Lame MP3 Compression V1,0,0.08925,0.14298221263692854
20,Lame MP3 Compression V2,1,0.126,0.12171424910849651
20,Lame MP3 Compression V3,2,0.182,0.11300207127757254
20,Lame MP3 Compression V4,3,0.34525,0.10275245030001495
20,Lame MP3 Compression V5,4,0.495,0.08481561358928914
20,Lame MP3 Compression V6,5,0.72075,0.07161922658068373
20,Lame MP3 Compression V7,6,0.68025,0.06630223569857573
20,Lame MP3 Compression V8,7,0.6735,0.06675065661634387
20,Lame MP3 Compression V9,8,0.8425,0.0516431423629647
21,Lame MP3 Compression V1,0,0.03825,0.14846974653743847
21,Lame MP3 Compression V2,1,0.0455,0.1296358577674504
21,Lame MP3 Compression V3,2,0.10275,0.12083040327758583
21,Lame MP3 Compression V4,3,0.2895,0.10713302962668542
21,Lame MP3 Compression V5,4,0.50075,0.08842143883572325
21,Lame MP3 Compression V6,5,0.738,0.07717002476534075
21,Lame MP3 Compression V7,6,0.704,0.06842571926498915
21,Lame MP3 Compression V8,7,0.809,0.06383954505151802
21,Lame MP3 Compression V9,8,0.9085,0.050753661295747085
22,Lame MP3 Compression V1,0,0.06225,0.1455461718324596
22,Lame MP3 Compression V2,1,0.111,0.12350925144937594
22,Lame MP3 Compression V3,2,0.1625,0.11325952103863934
22,Lame MP3 Compression V4,3,0.3715,0.09711619564172921
22,Lame MP3 Compression V5,4,0.5275,0.07802607275173232
22,Lame MP3 Compression V6,5,0.64225,0.06700761256019047
22,Lame MP3 Compression V7,6,0.64175,0.0588078282316012
22,Lame MP3 Compression V8,7,0.59725,0.05342671976596449
22,Lame MP3 Compression V9,8,0,0.04192246506016378
23,Lame MP3 Compression V1,0,0.0515,0.14113330615572767
23,Lame MP3 Compression V2,1,0.0965,0.1232776192417448
23,Lame MP3 Compression V3,2,0.242,0.11422747655931513
23,Lame MP3 Compression V4,3,0.38325,0.10150835711373828
23,Lame MP3 Compression V5,4,0.52175,0.08891153689359968
23,Lame MP3 Compression V6,5,0.72575,0.0760701182225846
23,Lame MP3 Compression V7,6,0.75675,0.06420709335507542
23,Lame MP3 Compression V8,7,0.791,0.06176110884631064
23,Lame MP3 Compression V9,8,0.8965,0.04889930697105585
24,Lame MP3 Compression V1,0,0.05825,0.14195725053917277
24,Lame MP3 Compression V2,1,0.10825,0.11889560333966817
24,Lame MP3 Compression V3,2,0.11025,0.10582733659328222
24,Lame MP3 Compression V4,3,0.2355,0.08942794302919006
24,Lame MP3 Compression V5,4,0.4645,0.07123486579402533
24,Lame MP3 Compression V6,5,0,0.05880720035873673
24,Lame MP3 Compression V7,6,0.57725,0.05400269052550661
24,Lame MP3 Compression V8,7,0.56275,0.05163246567444641
24,Lame MP3 Compression V9,8,0,0.039146078452307234
25,Lame MP3 Compression V1,0,0.0695,0.14113330615572767
25,Lame MP3 Compression V2,1,0.1305,0.12058703628210354
25,Lame MP3 Compression V3,2,0.202,0.11178149205055035
25,Lame MP3 Compression V4,3,0.42,0.09600489196901753
25,Lame MP3 Compression V5,4,0.525,0.0786384019567876
25,Lame MP3 Compression V6,5,0.65575,0.06812066856909907
25,Lame MP3 Compression V7,6,0.6195,0.06127191194455769
25,Lame MP3 Compression V8,7,0.60825,0.05637994292702813
25,Lame MP3 Compression V9,8,0.7685,0.044654504688136976
26,Lame MP3 Compression V1,0,0.08975,0.14554461788131792
26,Lame MP3 Compression V2,1,0.096,0.12427665435288592
26,Lame MP3 Compression V3,2,0.22025,0.11377079285088937
26,Lame MP3 Compression V4,3,0.38625,0.10223996925113707
26,Lame MP3 Compression V5,4,0.54225,0.08315005018043603
26,Lame MP3 Compression V6,5,0.8385,0.06854434028741646
26,Lame MP3 Compression V7,6,0.74775,0.06399607097862527
26,Lame MP3 Compression V8,7,0.67,0.060729004292028786
26,Lame MP3 Compression V9,8,0.931,0.04609126433345433
27,Lame MP3 Compression V1,0,0.0545,0.1440071747346843
27,Lame MP3 Compression V2,1,0.08775,0.12299545173069121
27,Lame MP3 Compression V3,2,0.1465,0.11248959022869467
27,Lame MP3 Compression V4,3,0.336,0.09596207640238304
27,Lame MP3 Compression V5,4,0.5365,0.07828148021609617
27,Lame MP3 Compression V6,5,0.6795,0.06803185923853858
27,Lame MP3 Compression V7,6,0.606,0.06265080822532083
27,Lame MP3 Compression V8,7,0.60175,0.057141636949883626
27,Lame MP3 Compression V9,8,0.8005,0.04608592598919519
28,Lame MP3 Compression V1,0,0.05375,0.15143814994341356
28,Lame MP3 Compression V2,1,0.10325,0.13350131323268774
28,Lame MP3 Compression V3,2,0.14275,0.12478913540176378
28,Lame MP3 Compression V4,3,0.307,0.11095214708206103
28,Lame MP3 Compression V5,4,0.51375,0.0944246332557494
28,Lame MP3 Compression V6,5,0.671,0.08276568939377763
28,Lame MP3 Compression V7,6,0.67975,0.07437381221840234
28,Lame MP3 Compression V8,7,0.87075,0.06354765006085712
28,Lame MP3 Compression V9,8,0.92,0.05344750272255557
29,Lame MP3 Compression V1,0,0.06425,0.1389319200978394
29,Lame MP3 Compression V2,1,0.07075,0.11716265796983286
29,Lame MP3 Compression V3,2,0.11625,0.10248675091724418
29,Lame MP3 Compression V4,3,0.28825,0.08817774154097024
29,Lame MP3 Compression V5,4,0.554,0.07166734610680799
29,Lame MP3 Compression V6,5,0.73475,0.057725234406848756
29,Lame MP3 Compression V7,6,0.72375,0.0528332653893192
29,Lame MP3 Compression V8,7,0.77175,0.04794129637178964
29,Lame MP3 Compression V9,8,0.84575,0.03511516510395434
30,Lame MP3 Compression V1,0,0.06075,0.14357929066449246
30,Lame MP3 Compression V2,1,0.08075,0.12401141459437423
30,Lame MP3 Compression V3,2,0.138,0.1134936812066857
30,Lame MP3 Compression V4,3,0.2945,0.09759478189971464
30,Lame MP3 Compression V5,4,0.625,0.07472482674276396
30,Lame MP3 Compression V6,5,0.81025,0.06212800652262536
30,Lame MP3 Compression V7,6,0.707,0.054851202609050145
30,Lame MP3 Compression V8,7,0.682,0.051732572360375054
30,Lame MP3 Compression V9,8,0,0.040414798206278024
31,Lame MP3 Compression V1,0,0.04525,0.14113330615572767
31,Lame MP3 Compression V2,1,0.07475,0.11863024867509173
31,Lame MP3 Compression V3,2,0.1,0.10273134936812067
31,Lame MP3 Compression V4,3,0.164,0.08609865470852018
31,Lame MP3 Compression V5,4,0.42425,0.06812066856909907
31,Lame MP3 Compression V6,5,0.65775,0.0528332653893192
31,Lame MP3 Compression V7,6,0,0.04916428862617203
31,Lame MP3 Compression V8,7,0.62675,0.044761516510395435
31,Lame MP3 Compression V9,8,0,0.032200366897676316
32,Lame MP3 Compression V1,0,0.04925,0.14504688136975133
32,Lame MP3 Compression V2,1,0.08775,0.1232776192417448
32,Lame MP3 Compression V3,2,0.09775,0.11178149205055035
32,Lame MP3 Compression V4,3,0.22225,0.09563799429270281
32,Lame MP3 Compression V5,4,0.46225,0.07790460660415817
32,Lame MP3 Compression V6,5,0.7075,0.06579698328577252
32,Lame MP3 Compression V7,6,0.61,0.05650224215246637
32,Lame MP3 Compression V8,7,0.5925,0.05307786384019568
32,Lame MP3 Compression V9,8,0.75275,0.04173970648185895
33,Lame MP3 Compression V1,0,0.01825,0.14349469368580642
33,Lame MP3 Compression V2,1,0.04225,0.12120176805961863
33,Lame MP3 Compression V3,2,0.121,0.10326493134889282
33,Lame MP3 Compression V4,3,0.2055,0.0871217783092396
33,Lame MP3 Compression V5,4,0.3335,0.06944118212295275
33,Lame MP3 Compression V6,5,0.53025,0.058422839572078326
33,Lame MP3 Compression V7,6,0.52375,0.05381051013217741
33,Lame MP3 Compression V8,7,0,0.04958254147893489
33,Lame MP3 Compression V9,8,0,0.038590890649356197
34,Lame MP3 Compression V1,0,0.049,0.14235629841011008
34,Lame MP3 Compression V2,1,0.05875,0.12254382388911537
34,Lame MP3 Compression V3,2,0.134,0.11104769669792092
34,Lame MP3 Compression V4,3,0.285,0.09722788422339992
34,Lame MP3 Compression V5,4,0.4855,0.07900529963310232
34,Lame MP3 Compression V6,5,0.6975,0.06812066856909907
34,Lame MP3 Compression V7,6,0.65775,0.06053811659192825
34,Lame MP3 Compression V8,7,0.61475,0.05955972278842234
34,Lame MP3 Compression V9,8,0.80325,0.04571952710966164
35,Lame MP3 Compression V1,0,0.04325,0.14631333945463476
35,Lame MP3 Compression V2,1,0.08225,0.12530161645064167
35,Lame MP3 Compression V3,2,0.1165,0.11120838760649997
35,Lame MP3 Compression V4,3,0.2915,0.09455275351796887
35,Lame MP3 Compression V5,4,0.48075,0.07366915077619525
35,Lame MP3 Compression V6,5,0.6185,0.06226644743866242
35,Lame MP3 Compression V7,6,0.61675,0.05515577288548184
35,Lame MP3 Compression V8,7,0.60025,0.04945442121671542
35,Lame MP3 Compression V9,8,0,0.038590890649356197
36,Lame MP3 Compression V1,0,0.036,0.1452899285721912
36,Lame MP3 Compression V2,1,0.0775,0.12325300818910753
36,Lame MP3 Compression V3,2,0.17125,0.11120957495649203
36,Lame MP3 Compression V4,3,0.3875,0.09545061444998452
36,Lame MP3 Compression V5,4,0.558,0.07738546460106127
